Date,Mid Price
6/17/2023,95.98
6/16/2023,60.64
6/15/2023,72.2
6/14/2023,145.8
6/13/2023,108.77
6/12/2023,206.84
6/11/2023,91.01
6/10/2023,64.92
6/9/2023,58.44
6/8/2023,94.17
6/7/2023,120.53
6/6/2023,62.76
6/5/2023,132.84
6/4/2023,150.68
6/3/2023,63.72
6/2/2023,96.64
6/1/2023,108.89
5/31/2023,264.96
5/30/2023,111.07
5/29/2023,80.35
5/28/2023,241.37
5/27/2023,155.44
5/26/2023,220.32
5/25/2023,237.84
5/24/2023,301.55
5/23/2023,156.98
5/22/2023,398.73
5/21/2023,328.45
5/20/2023,206.61
5/19/2023,111.5
5/18/2023,210.79
5/17/2023,113.54
5/16/2023,67.14
5/15/2023,99.1
5/14/2023,189.55
5/13/2023,250.04
5/12/2023,190.28
5/11/2023,155.22
5/10/2023,69.51
5/9/2023,163.06
5/8/2023,311.34
5/7/2023,152.42
5/6/2023,87.09
5/5/2023,100.93
5/4/2023,105
5/3/2023,139.92
5/2/2023,249.56
5/1/2023,435.03
4/30/2023,209.08
4/29/2023,93.97
4/28/2023,94.05
4/27/2023,157.01
4/26/2023,135.07
4/25/2023,111.25
4/24/2023,149.57
4/23/2023,127.64
4/22/2023,113.76
4/21/2023,118.21
4/20/2023,98.98
4/19/2023,128.99
4/18/2023,186.52
4/17/2023,51.34
4/16/2023,279.06
4/15/2023,50.4
4/14/2023,38.2
4/13/2023,258.05
4/12/2023,109.82
4/11/2023,155.38
4/10/2023,116.65
4/9/2023,210.2
4/8/2023,124.42
4/7/2023,65.4
4/6/2023,40.4
4/5/2023,108.51
4/4/2023,154.53
4/3/2023,150.38
4/2/2023,407.69
4/1/2023,118.19
3/31/2023,144.99
3/30/2023,82.78
3/29/2023,127.01
3/28/2023,117.77
3/27/2023,141.81
3/26/2023,153.05
3/25/2023,132.95
3/24/2023,163.72
3/23/2023,190
3/22/2023,215.3
3/21/2023,102.69
3/20/2023,158.68
3/19/2023,213.92
3/18/2023,80.16
3/17/2023,236.53
3/16/2023,191.67
3/15/2023,165.53
3/14/2023,246.38
3/13/2023,226.43
3/12/2023,63.42
3/11/2023,111.64
3/10/2023,167.33
3/9/2023,99.01
3/8/2023,71.68
3/7/2023,97.28
3/6/2023,88.74
3/5/2023,120.29
3/4/2023,109.74
3/3/2023,90.05
3/2/2023,158.83
3/1/2023,79.33
2/28/2023,88.38
2/27/2023,130.62
2/26/2023,78.14
2/25/2023,57.93
2/24/2023,82.35
2/23/2023,188.33
2/22/2023,140.33
