"","Soybean Oil","CPO","Canola","Soybean","Soybean Meal","Rapeseed Meal","EPU","FROM"
"Soybean Oil","53.84","10.14","14.99","14.59"," 3.40"," 1.61"," 1.42","46.16"
"CPO","16.29","64.63"," 6.96"," 5.44"," 2.61"," 2.25"," 1.82","35.37"
"Canola","15.19"," 4.63","52.91","15.62"," 8.63"," 1.83"," 1.19","47.09"
"Soybean","11.95"," 2.58","13.07","42.98","26.31"," 1.86"," 1.24","57.02"
"Soybean Meal"," 3.34"," 1.65"," 8.44","31.24","51.71"," 2.19"," 1.42","48.29"
"Rapeseed Meal"," 3.62"," 2.55"," 4.42"," 7.91"," 6.56","73.32"," 1.61","26.68"
"EPU"," 2.16"," 2.18"," 2.10"," 2.29"," 2.33"," 2.03","86.91","13.09"
"TO"," 52.56"," 23.73"," 49.98"," 77.09"," 49.84"," 11.78","  8.71","273.70"
"Inc.Own","106.40"," 88.36","102.89","120.07","101.55"," 85.10"," 95.62","cTCI/TCI"
"NET","  6.40","-11.64","  2.89"," 20.07","  1.55","-14.90"," -4.38","45.62/39.10"
"NPT","4.00","2.00","3.00","6.00","5.00","1.00","0.00",""
