"","Soybean Oil","CPO","Canola","Soybean","Soybean Meal","Rapeseed Meal"
"2013-01-04",4.62640795642866,-10.6585237007948,1.12631407091016,19.646716180999,-3.36307984010411,-11.3778346674389
"2013-01-07",2.88259898834514,-10.138423949488,3.74607059563903,21.6005975724865,0.362877704272542,-18.4537209112552
"2013-01-08",7.45517383764446,-10.9231470548621,-4.25002320085573,18.0481593329785,1.37106469601989,-11.701227610925
"2013-01-09",18.5878547978488,-8.22352308276383,-8.45461006475165,22.9894336057921,2.56361242119772,-27.4627676773231
"2013-01-10",20.1944559285197,-7.98570238234901,-9.53361982439153,19.8868723461758,3.74611115856613,-26.3081172265211
"2013-01-11",9.11148786527386,-6.05689413228762,-0.545247260625871,6.53859016711898,19.4650832063851,-28.5130198458645
"2013-01-14",21.2666156302659,-3.8266067396543,8.55923129812698,6.82074203680023,7.66314759883219,-40.483129824371
"2013-01-15",6.4893552397363,-8.05134504787271,-9.31638073870745,1.00412103750152,28.7113362501719,-18.8370867408296
"2013-01-16",6.56576618263037,-27.2083515751283,-1.89571277899196,6.05348974163144,36.9786082923265,-20.493799862468
"2013-01-17",4.15142413665672,-24.9721954567531,0.598682161923051,4.5958733953417,33.0937104371717,-17.4674946743401
"2013-01-18",3.50105407466921,-24.2065501960176,-8.72087369248857,8.89407881371162,33.4918552361306,-12.9595642360053
"2013-01-22",1.36957430745291,-25.7100472646233,-4.59383172249518,6.71503627697037,36.1504471574223,-13.9311787547271
"2013-01-23",8.31783298986395,-21.2738150739071,-14.7803112297786,4.5394987814836,42.7627029052308,-19.5659083728926
"2013-01-25",-4.19907056254421,-18.0478988264994,-4.92605875607448,12.965783509856,42.7441479552321,-28.5369033199701
"2013-01-29",12.1664737541821,-16.6703920864482,-8.58630116492776,16.4356425835364,27.2324778915764,-30.5779009779189
"2013-01-30",14.861097296152,-12.3838256044673,-9.49732817699937,12.4305449840484,24.2277144409208,-29.6382029396546
"2013-01-31",15.7485410188003,-11.9941690323997,-8.80906625695533,9.8752341739189,21.6173939345947,-26.4379338379589
"2013-02-04",15.811311386725,-11.7371136322987,-7.62301031087174,10.9874365577822,20.3536575068902,-27.7922815082269
"2013-02-05",13.5651139235263,-11.4530032765683,-7.05450245131679,11.7139662941292,20.9969748022715,-27.7685492920419
"2013-02-06",9.75858884131299,-10.4959802829503,-6.75260080149053,12.9644411415272,22.5843663882749,-28.0588152866743
"2013-02-07",-2.26602642215134,-9.19956442973241,4.26794443979447,12.4711477676563,22.7615998275365,-28.0351011831035
"2013-02-08",-4.48194477998871,-9.26169636408246,2.27576177063013,8.84822488534184,17.3102618183413,-14.6906073302421
"2013-02-19",-4.83680069170545,-11.0481766663284,3.99455393085522,10.0643625693952,17.9554876849166,-16.1294268271332
"2013-02-20",-5.99891720373716,-13.0866148723914,4.90538558784311,11.6009730000619,19.4587910798459,-16.8796175916224
"2013-02-21",-16.672230525834,-9.81667353428578,-4.66365088623704,11.9478426836392,22.4005011711824,-3.19578890846484
"2013-02-22",-4.70553174832094,-10.7973345663507,-5.29379725326832,15.371042286361,19.6241548204182,-14.1985335388393
"2013-02-25",-1.76120693547468,-7.02818674998763,-0.946876124386904,10.8275529969014,15.2821924893821,-16.3734756764342
"2013-02-26",-4.84192837920816,-8.36321549818261,-2.70974432042966,15.7121025814471,16.0054893121977,-15.8027036958244
"2013-02-27",-5.40183667292334,-7.44256997117242,-4.28025749408586,15.2011872714257,16.8027155797224,-14.8792387129665
"2013-02-28",-5.0728351146716,-7.11440195298846,-3.73870276992184,14.4395965227271,15.5339762392564,-14.0476329244016
"2013-03-01",-4.48549833508448,-9.28907274343801,-4.10656060670982,15.0314496460371,17.3790312755543,-14.529349236359
"2013-03-04",-4.74396857906822,-9.48517577476131,-5.36527928727665,16.4622651208564,18.3936596670758,-15.261501146826
"2013-03-05",-4.81335673714764,-10.2640970919832,-4.62468296013804,15.4784009360562,19.2022219366667,-14.978486083454
"2013-03-06",-4.42507985473069,-10.8413676071835,-6.41869218027512,18.4093673841628,19.2311219718104,-15.9553497137839
"2013-03-07",-4.58530756166939,-13.3812476211547,-4.57099694587235,18.2827709025981,20.5100035741757,-16.2552223480774
"2013-03-08",-4.76324932239502,-12.3978757103473,-4.16071140807733,17.2256710710644,20.2650309510763,-16.1688655813211
"2013-03-11",-4.59739700778984,-11.5593945970578,-4.57028124985471,15.9695052543357,19.7308602624571,-14.9732926620905
"2013-03-12",-3.2667595842213,-10.9885462190515,-4.22305347702581,12.2899212491633,19.869975731877,-13.6815377007418
"2013-03-13",-2.2468820317778,-11.345548662841,-7.5373860500788,9.85449390929853,12.6710258081871,-1.39570297278808
"2013-03-14",-7.8568049262947,-11.0992908311372,-4.82812813849456,11.7106802597861,13.5682388930281,-1.49469525688781
